Title,Author,Date,Thematic
Le financement de la transition écologique en Afrique subsaharienne,                      Claude Crampes   &       Antonio Estache                ,5 Février 2024,Transition énergétique
Agriculture : des normes ou des taxes,                      Frédéric Cherbonnier                ,5 Février 2024,Histoire
"Entre cryptomonnaies et CBDC, quel avenir pour la monnaie?",                      Jean Tirole                ,1 Février 2024,Finance
Cryptomonnaies : le point de vue de l'économiste,                      Jean Tirole                ,1 Février 2024,Finance
L’Afrique sub-saharienne face aux défis du réchauffement climatique,                      Claude Crampes   &       Antonio Estache                ,12 Janvier 2024,Energie
"""Soft skills"" à l'école: comment la France peut rattraper son retard",                      Frédéric Cherbonnier                ,20 Décembre 2023,Education
Retour sur les marchés électriques en 2022,                      Claude Crampes   &       Stefan Ambec                ,12 Décembre 2023,Energie
Transition bas-carbone : quel impact sur le coût du capital des entreprises ?,                      Sébastien Pouget                ,11 Décembre 2023,Transition énergétique
Réforme du marché de l’électricité : comment rassurer les investisseurs tout en maintenant le signal prix ?,                      Claude Crampes   &       Stefan Ambec   &       Jean Tirole                ,29 Novembre 2023,Energie
En finir avec la gratuité de l’eau,                      Jean Tirole                ,24 Novembre 2023,Environnement
Immigration : répondre aux besoins de main-d'œuvre,                      Emmanuelle Auriol                ,15 Novembre 2023,Emploi
L'école peut beaucoup mieux faire,                      Frédéric Cherbonnier                ,12 Novembre 2023,Education
TSE MAG 25 - Pourquoi travaillons-nous ?,                      Marcel Boyer   &       Paul Seabright                ,21 Octobre 2023,Emploi
TSE MAG 25 - S’engager sur la bonne voie,                      Olivier De Groote                ,21 Octobre 2023,Emploi
TSE MAG 25 - Jobs for life: Should I stay or should I go? - Partir ou rester ?,                      Eugenia Gonzalez-Aguado                ,21 Octobre 2023,Emploi
TSE MAG 25 - Le marché du travail français en danger,                      Jean Tirole                ,21 Octobre 2023,Emploi
TSE MAG 25 - Les femmes au travail - Dans l’ombre de la guerre,                      Victor Gay                ,21 Octobre 2023,Emploi
TSE MAG 25 - Pourquoi si peu de femmes deviennent économistes?,                      Emmanuelle Auriol                ,21 Octobre 2023,Emploi
TSE MAG 25 - J'ai trouvé des gens qui croyaient en moi au delà de mon genre,                      Emmanuelle Auriol                ,21 Octobre 2023,Emploi
"TSE MAG 25 - Le réseau professionnel, un privilège masculin ?",                      Marie Lalanne                ,21 Octobre 2023,Emploi
TSE MAG 25 - Pourquoi les mères qui travaillent paient un lourd tribut?,                      Francesca Barigozzi   &       Helmuth Cremer   &       Emmanuel Thibault                ,21 Octobre 2023,Emploi
TSE MAG 25 - Le mythe de la neutralité de genre,                      Francesca Barigozzi   &       Helmuth Cremer   &       Jean-Marie Lozachmeur                ,21 Octobre 2023,Emploi
TSE MAG 25 - L’IA va-t-elle s’emparer de nos emplois ?,                      François Poinas                ,21 Octobre 2023,Histoire
TSE MAG 25 - Allô ? C’est IA à l’appareil...,                      Zoe Purcell                ,21 Octobre 2023,Emploi
"TSE MAG 25 - Mon collègue, ce robot",                      Jean-François Bonnefon                ,21 Octobre 2023,Emploi
Il n'y a pas d'alternatives à l'A69,                      Marc Ivaldi                ,11 Octobre 2023,Transport
"Pour les petits aéroports en difficulté, ""la solution peut venir de l'avion électrique"", estime Marc Ivaldi",                      Marc Ivaldi                ,9 Octobre 2023,Transport
Politique climatique à l’américaine,                      Stefan Ambec   &       Claude Crampes                ,6 Octobre 2023,Environnement
Climat : la solution ne peut être que mondiale,                      Frédéric Cherbonnier                ,5 Octobre 2023,Climat
Quel développement pour les territoires exposés aux risques côtiers?,                      Farid Gasmi                ,27 Septembre 2023,Climat
L'autosolisme est un problème central,                      Marc Ivaldi                ,23 Septembre 2023,Transport
Enchères pour l’éolien en mer,                      Claude Crampes   &       Stefan Ambec                ,12 Septembre 2023,Energie
"Marcel Boiteux était aussi ""un des chercheurs français en économie les plus renommés à l’étranger""",                      Stefan Ambec   &       Claude Crampes   &       Jean Tirole                ,11 Septembre 2023,Histoire
Abayas : un risque de ségrégation identitaire,                      Frédéric Cherbonnier                ,31 Août 2023,Education
L'odyssée de l'intelligence artificielle : orgueil et préjugés,                      Daniel L. Chen                ,11 Août 2023,Science
L'odyssée de l'intelligence artificielle : l’IA peut-elle être morale?,                      Jean-François Bonnefon                ,31 Juillet 2023,Science
Peut-on voyager sans polluer?,                      Isis Durrmeyer   &       Mathias Reynaert                ,27 Juillet 2023,Environnement
Sommet du Bien Commun - Qui décide du bien commun ?,                      Jean Tirole                ,18 Juillet 2023,Economie politique
Sommet du bien commun - La mondialisation contre les territoires,                      Emmanuelle Auriol                ,18 Juillet 2023,Politiques publiques
Sommet du bien commun - Discussion entre Jean Tirole et Ariel Pakes,                      Jean Tirole   &                       ,18 Juillet 2023,Santé
Sommet du Bien Commun - Les médicaments et le bien commun,                      Pierre Dubois                ,18 Juillet 2023,Santé
Sommet du Bien Commun - Comment concilier liberté de mouvement et décarbonation de l’automobile?,                      Christian Gollier                ,18 Juillet 2023,Transition énergétique
"Sommet du Bien Commun - Le bien-être animal, nouvelle préoccupation ?",                      Nicolas Treich                ,17 Juillet 2023,Alimentation
Sommet du Bien Commun - Quelle alimentation pour demain ?,                      Zohra Bouamra-Mechemache                ,17 Juillet 2023,Alimentation
Sommet du Bien Commun - L’IA pour le bien,                      Jean-François Bonnefon                ,17 Juillet 2023,Informatique
"Sommet du Bien Commun - L’inflation, facteur d’inégalités",                      Fabrice Collard   &       Patrick Fève                ,17 Juillet 2023,Finance
Sommet du Bien Commun - Des récits qui nous aident à mieux comprendre et à accepter la nécessité de sacrifices partagés,                      Paul Seabright                ,17 Juillet 2023,Economie comportementale
"Sommet du Bien Commun - Polluer moins, le dilemme des mobilités",                      Estelle Malavolti                ,17 Juillet 2023,Climat
Sommet du Bien Commun - Respecter les échéances des accords de Paris,                      Claude Crampes                ,17 Juillet 2023,Climat
Les méandres de la performance environnementale des bâtiments,                      Claude Crampes   &       Mathias Laffont                ,19 Mai 2023,Energie
Partage des richesses : un équilibre instable,                      Frédéric Cherbonnier                ,9 Mai 2023,Agriculture
Israël : la tentation illibérale de Netanyahou risque de peser sur l'économie du pays,                      Jean Tirole                ,11 Avril 2023,Economie politique
Comment utiliser au mieux notre budget carbone ?,                      Stefan Ambec   &       Claude Crampes                ,7 Avril 2023,Energie
Climat : reculer pour mieux sauter,                      Frédéric Cherbonnier                ,3 Avril 2023,Climat
Stockage souterrain pour l’énergie électrique,                      Claude Crampes   &       Stefan Ambec                ,31 Mars 2023,Energy
Réforme des retraites et hygiène de l’assassin,                      Emmanuel Thibault                ,31 Mars 2023,Politiques publiques
Malheureux comme un prix en France,                      Wilfried Sand-Zantman                ,20 Mars 2023,Finance
Retraites: qu'en est-il des inégalités de santé?,                      Frédéric Cherbonnier                ,28 Février 2023,Public policy
Polygynie et déterminants économiques de formation de familles en Afrique subsaharienne,                      Augustin Tapsoba                ,27 Février 2023,Développement
Ceux qui veulent sauver la planète en empêchant l’investissement dans les énergies fossiles commettent une erreur suicidaire,                      Christian Gollier                ,25 Février 2023,Environnement
"Retraites ou climat, chiffrer les enjeux permet de faire des choix de consensus",                      Christian Gollier                ,31 Janvier 2023,Climat
"La taxe carbone aux frontières, un pas en avant, mais à quel prix ?",                      Marie-Françoise Calmette                ,30 Janvier 2023,Taxation
Immigration: ces faux débats qui masquent la réalité,                      Frédéric Cherbonnier                ,20 Janvier 2023,Public policy
Discrimination sociale dans le commerce de l’électricité,                      Claude Crampes   &       Stefan Ambec                ,6 Janvier 2023,Energie
"L’autoroute décarbonée, c’est avant tout une autoroute intelligente",                      Marc Ivaldi                ,22 Décembre 2022,Transport
L’ampleur et la distribution des chocs sur l’énergie et sur les échanges commerciaux dans la zone euro et en France,                      François Villeroy de Galhau                ,13 Décembre 2022,Macroéconomie
Les surprofits des renouvelables,                      Stefan Ambec   &       Claude Crampes                ,8 Décembre 2022,Energie
La lutte contre l'inflation est loin d'être terminée,                      Frédéric Cherbonnier                ,4 Décembre 2022,Public policy
"L’Union Européenne: Nouveaux défis, nouvelles ambitions",                      Marc Ivaldi                ,28 Novembre 2022,Europe
"La taxe carbone est indispensable, point final",                      Jean Tirole                ,25 Novembre 2022,Environnement
"""La taxe carbone est indispensable"": à Lyon, le prix Nobel Jean Tirole pointe l’inaction climatique",                      Jean Tirole                ,21 Novembre 2022,Environment
"Le scénario d’une transition écologique heureuse, créatrice de millions d’emplois et peu coûteuse est irréaliste",                      Christian Gollier                ,18 Novembre 2022,Environment
Est-il moral de tuer une personne pour en sauver d'autres?,                      Jean-François Bonnefon                ,14 Novembre 2022,IT
Un droit carbone significatif pour corriger les échecs de Charm el-Cheick,                      Marcel Boyer                ,10 Novembre 2022,Environment
"La distribution de dividendes, un faux débat",                      Frédéric Cherbonnier                ,29 Octobre 2022,Agriculture
"Impérative, la réforme des retraites ne suffira pourtant pas",                      Jean Tirole                ,13 Octobre 2022,Politiques publiques
Has digital technology made us better off? (podcast),                      Jean Tirole   &       Jacques Crémer                ,10 Octobre 2022,Digital
"Le drame ukrainien, ou l’échec retentissant de la diplomatie",                      Marcel Boyer                ,3 Octobre 2022,Europe
Il faut abolir l’école publique,                      Marcel Boyer                ,28 Septembre 2022,Education
Gratuité des transports: un leurre politique,                      Frédéric Cherbonnier                ,24 Septembre 2022,Transport
"Sur le bouclier énergétique, le gouvernement est allé trop loin",                      Jean Tirole                ,23 Septembre 2022,Politiques publiques
"Contre les fake news économiques, l'éducation est le seul vaccin",                      Jean Tirole                ,21 Septembre 2022,Environment
Grandeur et décadence du gaz naturel,                      Stefan Ambec   &       Claude Crampes                ,20 Septembre 2022,Energie
Transition énergétique: faut-il faire mal aux riches pour la réussir?,                      Christian Gollier                ,12 Septembre 2022,Climat
Transport aérien : le Covid rebat les cartes,                      Marc Ivaldi                ,29 Août 2022,Transport
Fin du mois ou fin du monde: le dilemme de Macron,                      Christian Gollier                ,28 Juillet 2022,Climate
"Taxe carbone, transparence et vision de long terme",                      Frédéric Cherbonnier                ,26 Juillet 2022,Environment
Le vrai coût des fonds publics,                      Marcel Boyer                ,13 Juillet 2022,Politiques publiques
Comment rendre acceptables les politiques climatiques?,                      Christian Gollier                ,13 Juillet 2022,Agriculture
"Prix de l'essence contre taxe carbone, l'heure des choix",                      Christian Gollier                ,27 Juin 2022,Energie
Les jeunes sont sévères avec le système éducatif. A raison!,                      Emmanuelle Auriol                ,14 Juin 2022,Education
Stratégie bas carbone : être à la fois lièvre et tortue,                      Frédéric Cherbonnier                ,9 Juin 2022,Environment
"Entre ""techno-optimistes"" et ""décroissantistes"", un fossé béant",                      Christian Gollier                ,2 Juin 2022,Climat
Les effets redistributifs de la tarification de l’électricité en temps réel,                      Stefan Ambec   &       Claude Crampes                ,25 Mai 2022,Energy
Faisons-nous assez pour les générations futures?,                      Christian Gollier                ,25 Mai 2022,Climat
Découplage : la bonne nouvelle du dernier rapport du GIEC,                      Stefan Ambec   &       Claude Crampes                ,26 Avril 2022,Energie
"La vision de Marine Le Pen, c’est que les étrangers coûtent cher. C’est faux",                      Jean Tirole                ,22 Avril 2022,Politiques publiques
Guerre en Ukraine : pour quelques terawattheures de plus,                      Christian Gollier                ,19 Avril 2022,Europe
Consommer de la viande n'est pas anodin,                      Nicolas Treich   &       Romain Espinosa                ,19 Avril 2022,Food
Pourquoi le programme économique de Marine Le Pen est dangereux pour la France,                      Jean Tirole                ,16 Avril 2022,Politiques publiques
"Affaire McKinsey : derrière le coup politique, de vraies questions",                      Frédéric Cherbonnier                ,15 Avril 2022,Politiques publiques
Optimisation : l’IA à la recherche de la solution optimale,                      Dana Pizarro                ,23 Mars 2022,Science
Éthique : morale humaine pour intelligence artificielle ?,                      Dana Pizarro                ,18 Mars 2022,Science
Diversifier l’approvisionnement en gaz de l’Europe,                      Stefan Ambec   &       Claude Crampes                ,17 Mars 2022,Energie
"Russie : ""Jamais la sobriété énergétique de nos concitoyens n’a été aussi cruciale pour notre destin""",                      Christian Gollier                ,11 Mars 2022,Europe
Succession: mieux taxer sans taxer davantage,                      Frédéric Cherbonnier                ,10 Mars 2022,Taxation
Comment les mathématiques luttent contre le cancer,                      Sébastien Gadat                ,7 Mars 2022,Santé
Le transport francilien enclenche la mise en concurrence de son réseau,                      Marc Ivaldi                ,21 Février 2022,COP 21
Pourquoi le prix de l’électricité dépend-il du prix du gaz ?,                      Claude Crampes   &       Stefan Ambec                ,17 Février 2022,Energie
Le grand âge mérite des ressources suffisantes,                      Frédéric Cherbonnier                ,11 Février 2022,Public policy
Lignes directrices et taxonomie verte,                      Claude Crampes   &       Stefan Ambec                ,31 Janvier 2022,Energie
Le prix du carbone permet d'aligner la myriade d'intérêts individuels sur l'intérêt général,                      Christian Gollier                ,17 Janvier 2022,Environnement
Pourquoi les économistes sont-ils si peu écoutés par les candidats à la présidentielle 2022?,                      Emmanuelle Auriol                ,17 Janvier 2022,Economie politique
Immigration: réalités et fantasmes,                      Frédéric Cherbonnier                ,13 Janvier 2022,Public policy
La justice des algorithmes: pourquoi il vaudrait mieux remplacer les juges par une IA dans certains cas,                      Daniel L. Chen                ,31 Décembre 2021,Digital
Le consommateur-citoyen peut-il sauver la planète ?,                      Stefan Ambec   &       Philippe De Donder                ,14 Décembre 2021,Transition énergétique
Climat: comment gérer un risque non ou mal mesurable ?,                      Frédéric Cherbonnier                ,9 Décembre 2021,Environment
Do we use our emotions strategically? (podcast & video),                      Astrid Hopfensitz                ,29 Novembre 2021,Behavioral economics
"Inégalités aux Etats-Unis: un ""ruissellement"" à l'envers",                      Frédéric Cherbonnier                ,4 Novembre 2021,Public policy
Les Don Quichotte de la Manche à l’assaut des éoliennes,                      Stefan Ambec   &       Claude Crampes                ,27 Octobre 2021,Energy
Solaire low-cost,                      Stefan Ambec   &       Claude Crampes                ,5 Octobre 2021,Energie
"Enfin, un vrai prix pour le carbone!",                      Christian Gollier                ,27 Septembre 2021,Environnement
Légaliser le cannabis sera la seule façon de le contrôler,                      Emmanuelle Auriol                ,20 Septembre 2021,Santé
Il faut repenser en profondeur l’aménagement du territoire,                      Christian Gollier                ,15 Juillet 2021,Climat
La flexibilité des consommateurs d’électricité,                      Stefan Ambec   &       Claude Crampes                ,29 Juin 2021,COP 21
Les limites du tout-télétravail,                      Frédéric Cherbonnier                ,25 Juin 2021,Emploi
Rapport Blanchard-Tirole : La France face à l'avenir,                      Olivier Blanchard   &       Jean Tirole                ,23 Juin 2021,Public policy
Et si on créait des impôts sexués ?,                      Helmuth Cremer                ,17 Juin 2021,Taxation
Comment organiser l’industrie électrique ?,                      Stefan Ambec   &       Claude Crampes                ,10 Juin 2021,Energie
"""L’idée selon laquelle la vie des chasseurs-cueilleurs les a formés pour de petites interactions sociales bousculée par une étude""",                      Paul Seabright                ,9 Juin 2021,Histoire
Il est essentiel de remédier aux nombreuses défaillances de l'économie de marché,                      Jean Tirole                ,27 Mai 2021,Economie industrielle
Taxe carbone aux frontières: l'Europe doit agir sans tarder,                      Frédéric Cherbonnier                ,20 Mai 2021,
"Bruno Jullien: économie numérique et IA, un pari gagnant ?",                      Bruno Jullien                ,12 Mai 2021,Digital
On n’échappera pas à la taxe carbone,                      Christian Gollier                ,10 Mai 2021,
Les politiques et l'éclairage scientifique,                      Paul Seabright                ,6 Mai 2021,Education
Des concessions pour l’hydroélectricité,                      Stefan Ambec   &       Claude Crampes                ,5 Mai 2021,Energy
Il faut accélérer,                      Christian Gollier                ,13 Avril 2021,Coronavirus
Aux frontières du marché européen du carbone,                      Stefan Ambec   &       Claude Crampes                ,8 Avril 2021,Energy
"La France risque de passer à côté de la viande ""artificielle""",                      Frédéric Cherbonnier                ,8 Avril 2021,Alimentation
Les vertus de l’apprentissage social des cachalots face aux pêcheurs,                      Paul Seabright                ,31 Mars 2021,Science
Europe: un marché parallèle des médicaments aux effets délétères,                      Pierre Dubois                ,26 Mars 2021,Santé
La vie est un jeu,                      Jérôme Renault                ,15 Mars 2021,Education
Un hiver au Texas,                      Stefan Ambec   &       Claude Crampes                ,5 Mars 2021,Energie
Aux racines du populisme,                      Frédéric Cherbonnier                ,4 Mars 2021,Politiques publiques
EDF: entre réorganisation et démantèlement,                      Emmanuelle Auriol                ,1 Mars 2021,Energie
S’appuyer sur le marché pour lutter contre la pollution de l’air,                      Stefan Ambec   &       Claude Crampes                ,24 Février 2021,Energie
Les électeurs n’arrivent pas à tirer des leçons très utiles de la gestion d’une pandémie,                      Paul Seabright                ,24 Février 2021,Coronavirus
Nous devons construire une coalition pour le climat,                      Jean Tirole                ,10 Février 2021,Climat
Que peut nous apprendre l'histoire sur Covid-19?,                      Victor Gay                ,31 Janvier 2021,Coronavirus
Recherche française: les raisons d'un échec,                      Frédéric Cherbonnier                ,28 Janvier 2021,Santé
Les normes d'émission des véhicules fonctionnent-elles?,                      Mathias Reynaert                ,26 Janvier 2021,Environnement
Le puzzle de l'alimentation et du climat,                      Céline Bonnet                ,26 Janvier 2021,Alimentation
"Dans la “Royal Navy”, le népotisme servait de garde-fou contre l’incompétence",                      Paul Seabright                ,21 Janvier 2021,Histoire
Régulation économique du stockage de l’électricité,                      Stefan Ambec   &       Claude Crampes                ,21 Janvier 2021,Energy
Numéro spécial: Revue d’Economie Financière sur la Finance Climatique,                      Catherine Casamatta                ,21 Janvier 2021,Finance
Les engagements climatiques de l’UE : de 20/20 à 100/50,                      Stefan Ambec   &       Claude Crampes                ,5 Janvier 2021,Energie
"Entre santé publique et économie, quel est le bon dosage ?",                      Frédéric Cherbonnier                ,24 Décembre 2020,Santé
Covid-19 : Le système de traçage a un rôle important à jouer dans la gestion de la pandémie,                      Paul Seabright                ,14 Décembre 2020,Coronavirus
Un changement climatique à l’origine du sentiment paternel,                      Ingela Alger                ,4 Décembre 2020,Economie comportementale
Le bac à sable de la régulation,                      Stefan Ambec   &       Claude Crampes                ,2 Décembre 2020,Energy
"La médecine libérale, un gisement d'économies",                      Frédéric Cherbonnier                ,19 Novembre 2020,Santé
"En pleine deuxième vague, quelles sont nos options ?",                      Christian Gollier                ,12 Novembre 2020,Coronavirus
Barrières à la sortie des énergies fossiles,                      Stefan Ambec   &       Claude Crampes                ,9 Novembre 2020,COP 21
"L'école laïque, moteur industriel",                      Paul Seabright                ,5 Novembre 2020,Education
Colmater les fuites de carbone,                      Claude Crampes   &       Stefan Ambec                ,22 Octobre 2020,COP 21
"En Arabie saoudite, l’opinion des hommes sur le travail des femmes n’est pas celle qu’ils croient",                      Paul Seabright                ,7 Octobre 2020,Développement
Aux collectivités de sortir des sentiers battus pour tirer parti des plans de relance,                      Jean Tirole   &       Marie Guillou                ,7 Octobre 2020,Politiques publiques
Airbus restera un acteur crucial pour la région,                      Jean Tirole   &       Marie Guillou                ,30 Septembre 2020,Macroéconomie
Préparer les territoires au monde d’après,                      Jean Tirole   &       Marie Guillou                ,30 Septembre 2020,Politiques publiques
"L'après Covid-19 : ""Toulouse peut se relever de cette crise""",                      Jean Tirole   &       Marie Guillou                ,29 Septembre 2020,Macroéconomie
God insures those who pay: Formal insurance and religious offerings in Ghana,                      Emmanuelle Auriol   &          &       Amma Panin   &       Paul Seabright                ,19 Septembre 2020,Taxation
"Air-France-KLM : ""L'alliance ne sera pas en banqueroute à court et moyen terme""",                      Marc Ivaldi   &                       ,15 Septembre 2020,Competition
Le pari de l’hydrogène,                      Stefan Ambec   &       Claude Crampes                ,14 Septembre 2020,Energie
"Soyons honnêtes, la transition énergétique nous coûtera à tous de l’argent",                      Christian Gollier                ,11 Septembre 2020,Climat
La discrimination en ligne existe mais elle peut être réduite,,17 Août 2020,Digital economy
Pharmacie : « Le commerce parallèle de médicaments entraîne des dépenses de santé plus élevées »,                      Pierre Dubois   &                       ,1 Août 2020,COP 21
"Air France : «Si cette nationalisation se fait, elle ne serait que temporaire»",                      Marc Ivaldi                ,30 Juillet 2020,Concurrence
Toutes les facettes de l'humain,                      Paul Seabright                ,30 Juillet 2020,Science
Comment les économistes ont contribué à la recherche sur les effets de la pandémie due au coronavirus,,16 Juillet 2020,Coronavirus
Efficacité énergétique des bâtiments : de la théorie à la pratique,                      Claude Crampes   &       Stefan Ambec                ,3 Juillet 2020,Energy
Climat: «Il est illusoire de penser que les mesures coercitives ne sont pas coûteuses»,                      Nicolas Treich                ,23 Juin 2020,
Il faudra payer la dette,                      Marc Ivaldi                ,19 Juin 2020,Politiques publiques
Mieux vaut être crédule et bien portant…,                      Paul Seabright   &                       ,15 Juin 2020,Coronavirus
Augmenter l'ISF n'est pas à la hauteur de nos problèmes,                      Jean Tirole                ,11 Juin 2020,Coronavirus
Une stratégie anti-Covid au prix fort,                      Christian Gollier                ,11 Juin 2020,Coronavirus
Une taxe temporaire sur les hauts patrimoines,                      Nicolas Werquin                ,11 Juin 2020,Coronavirus
Les Coronabonds pour sauver l’Europe,                      Tiziana Assenza                ,11 Juin 2020,Coronavirus
Le Nobel Tirole défend l'utilité de sa prestigieuse commission,                      Jean Tirole                ,11 Juin 2020,Coronavirus
Le leurre de l'épargne salariale,                      Frédéric Cherbonnier                ,3 Juin 2020,Finance
Roulement de batterie chez Tesla,                      Stefan Ambec   &       Claude Crampes                ,2 Juin 2020,Energie
Le grand danger serait d'oublier I'avenir de Ia France et de l'Europe dans Ia réponse à Ia crise,                      Olivier Blanchard   &       Jean Tirole   &                       ,29 Mai 2020,Coronavirus
Alimentation et agriculture : mieux préparer l’Europe aux risques de chocs sanitaires,                      Vincent Réquillart                ,27 Mai 2020,Alimentation
Le pétrole à l’épreuve du confinement,                      Stefan Ambec   &       Claude Crampes                ,15 Mai 2020,Energie
Les statistiques pour combattre le Covid-19,                      Jean-Pierre Florens                ,13 Mai 2020,Coronavirus
"Quand Facebook s’éteint, le bien-être augmente",                      Paul Seabright                ,6 Mai 2020,Economie comportementale
Un déconfinement modulé géographiquement implique une modulation dans l’allocation des tests,                      Christian Gollier                ,5 Mai 2020,Coronavirus
Le partage des eaux,                      Claude Crampes   &                       ,28 Avril 2020,Transition énergétique
Les conférences sur le climat sont une course de lenteur,                      Christian Gollier                ,27 Avril 2020,Climat
"Surveillance par Stop-Covid : Se laisser tracer, c'est s'auto-tester",                      Marc Ivaldi                ,24 Avril 2020,Coronavirus
Tracer pour mieux soigner : mise en garde de Jean Tirole,                      Jean Tirole                ,23 Avril 2020,Coronavirus
